id,value
3415,0
3408,0
3411,0
3418,0
3412,0
3413,0
3410,0
3414,0
3416,0
3417,0
3401,0
3403,0
3402,0
3406,0
3404,0
3405,0
3407,0
8200,0
110228,0
110116,0
110111,0
110229,0
110109,0
110114,0
110115,0
110113,0
110117,0
110112,0
110105,0
110108,0
110106,0
110107,0
110102,0
110101,0
110104,0
110103,0
500242,0
500236,0
500238,0
500234,0
500243,0
500235,0
500101,0
500229,0
500116,0
500240,0
500237,0
500102,0
500230,0
500232,0
500119,0
500241,0
500114,0
500117,0
500222,0
500233,0
500228,0
500113,0
500223,0
500118,0
500231,0
500112,0
500115,0
500225,0
500224,0
500226,0
500227,0
500109,0
500110,0
500107,0
500106,0
500108,0
500105,0
500104,0
500111,0
500103,0
3507,0
3504,0
3508,0
3509,0
3501,0
3506,0
3505,0
3503,0
3502,0
6209,0
6207,0
6230,0
6206,0
6212,0
6210,0
6204,0
6211,0
6205,0
6201,0
6208,0
6229,0
6203,0
6202,0
4418,0
4402,0
4408,0
4414,0
4416,0
4412,0
4413,0
4409,0
4407,0
4417,0
4453,0
4401,0
4415,0
4452,0
4404,0
4406,0
4451,0
4405,0
4403,0
4419,0
4420,0
4510,0
4512,0
4503,0
4501,0
4502,0
4514,0
4513,0
4509,0
4504,0
4511,0
4507,0
4508,0
4506,0
4505,0
5203,0
5226,0
5224,0
5227,0
5222,0
5223,0
5202,0
5204,0
5201,0
469003,0
469005,0
469033,0
4602,0
469036,0
469007,0
4601,0
469006,0
469027,0
469030,0
469002,0
469031,0
469028,0
469034,0
469026,0
469025,0
469035,0
469001,0
1308,0
1307,0
1306,0
1302,0
1309,0
1301,0
1305,0
1304,0
1303,0
1311,0
1310,0
4113,0
4115,0
4103,0
4117,0
4116,0
4114,0
4112,0
4107,0
4104,0
4101,0
4105,0
4102,0
4108,0
4110,0
4109,0
4111,0
4106,0
2311,0
2327,0
2301,0
2302,0
2310,0
2312,0
2307,0
2308,0
2303,0
2305,0
2306,0
2304,0
2309,0
4228,0
4203,0
4205,0
4206,0
4211,0
4210,0
4208,0
4212,0
4213,0
4209,0
4201,0
4202,0
429021,0
429006,0
429004,0
429005,0
4207,0
4312,0
4311,0
4305,0
4310,0
4307,0
4331,0
4304,0
4306,0
4309,0
4301,0
4302,0
4308,0
4313,0
4303,0
2224,0
2202,0
2208,0
2207,0
2201,0
2206,0
2205,0
2203,0
2204,0
3209,0
3203,0
3206,0
3208,0
3205,0
3213,0
3207,0
3210,0
3201,0
3212,0
3202,0
3204,0
3211,0
3607,0
3608,0
3611,0
3604,0
3610,0
3609,0
3601,0
3602,0
3603,0
3606,0
3605,0
2102,0
2113,0
2106,0
2112,0
2101,0
2104,0
2114,0
2109,0
2107,0
2103,0
2105,0
2108,0
2110,0
2111,0
1507,0
1529,0
1525,0
1506,0
1504,0
1508,0
1505,0
1509,0
1522,0
1502,0
1501,0
1503,0
6403,0
6405,0
6404,0
6401,0
6402,0
6328,0
6327,0
6326,0
6325,0
6322,0
6323,0
6321,0
6301,0
3706,0
3713,0
3707,0
3702,0
3717,0
3708,0
3714,0
3716,0
3715,0
3705,0
3701,0
3709,0
3710,0
3711,0
3703,0
3704,0
3712,0
6108,0
6106,0
6107,0
6109,0
6110,0
6103,0
6105,0
6104,0
6101,0
6102,0
1409,0
1411,0
1410,0
1407,0
1408,0
1402,0
1404,0
1406,0
1405,0
1401,0
1403,0
310230,0
310119,0
310120,0
310115,0
310116,0
310118,0
310117,0
310114,0
310113,0
310112,0
310110,0
310107,0
310104,0
310105,0
310108,0
310109,0
310101,0
310103,0
310106,0
5133,0
5132,0
5134,0
5107,0
5117,0
5108,0
5118,0
5115,0
5111,0
5113,0
5119,0
5105,0
5101,0
5120,0
5104,0
5114,0
5116,0
5106,0
5110,0
5109,0
5103,0
7100,0
120225,0
120114,0
120115,0
120223,0
120221,0
120109,0
120107,0
120111,0
120113,0
120110,0
120108,0
120112,0
120103,0
120102,0
120104,0
120105,0
120106,0
120101,0
5424,0
5425,0
5423,0
5426,0
5421,0
5422,0
5401,0
8100,0
6528,0
6532,0
6522,0
6529,0
6543,0
6531,0
6542,0
6523,0
6530,0
6521,0
6540,0
6527,0
6501,0
6502,0
659002,0
659003,0
659004,0
659001,0
5308,0
5325,0
5326,0
5303,0
5323,0
5329,0
5309,0
5334,0
5306,0
5301,0
5307,0
5328,0
5305,0
5304,0
5333,0
5331,0
3311,0
3301,0
3303,0
3302,0
3309,0
3310,0
3307,0
3308,0
3306,0
3304,0
3305,0
